"html5_tags";"cms";"has_analytics";"has_js_jquery";"html5";"server";"id";"cluster"
0.0;"11";"1";"0";"0";"3";217.0;"cluster_2"
0.0;"6";"1";"1";"0";"3";218.0;"cluster_2"
0.0060790273556231;"11";"1";"1";"1";"1";219.0;"cluster_0"
0.0;"11";"0";"0";"0";"22";220.0;"cluster_5"
0.0121580547112462;"6";"1";"1";"1";"3";221.0;"cluster_0"
0.1519756838905775;"11";"1";"0";"1";"3";222.0;"cluster_0"
0.0;"11";"1";"0";"0";"3";223.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";224.0;"cluster_5"
0.0243161094224924;"9";"0";"0";"1";"3";225.0;"cluster_7"
0.0;"11";"0";"0";"0";"22";226.0;"cluster_5"
0.00911854103343465;"6";"1";"0";"1";"3";227.0;"cluster_0"
0.0;"11";"0";"0";"0";"22";228.0;"cluster_5"
0.0;"11";"1";"1";"0";"1";229.0;"cluster_2"
0.0;"11";"0";"0";"0";"6";230.0;"cluster_5"
0.0;"11";"1";"0";"0";"7";231.0;"cluster_2"
0.013677811550151976;"6";"1";"1";"1";"6";232.0;"cluster_0"
0.0;"11";"0";"0";"0";"1";233.0;"cluster_5"
0.0;"11";"0";"0";"0";"1";234.0;"cluster_5"
0.0;"11";"1";"0";"0";"0";235.0;"cluster_2"
0.0;"6";"1";"1";"1";"3";236.0;"cluster_0"
0.05319148936170213;"9";"1";"0";"1";"3";237.0;"cluster_0"
0.0;"7";"1";"1";"0";"3";238.0;"cluster_2"
0.0;"11";"0";"0";"0";"1";239.0;"cluster_5"
0.0;"11";"0";"0";"0";"3";240.0;"cluster_5"
0.00303951367781155;"11";"1";"1";"1";"1";241.0;"cluster_0"
0.0;"11";"1";"1";"0";"3";242.0;"cluster_2"
0.0060790273556231;"11";"0";"0";"1";"1";243.0;"cluster_7"
0.0;"11";"1";"0";"0";"1";244.0;"cluster_2"
0.0;"3";"1";"1";"0";"3";245.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";246.0;"cluster_5"
0.0060790273556231;"6";"0";"1";"1";"3";247.0;"cluster_7"
0.0182370820668693;"11";"1";"0";"1";"1";248.0;"cluster_0"
0.0;"11";"0";"0";"0";"3";249.0;"cluster_5"
0.0;"11";"1";"1";"0";"1";250.0;"cluster_2"
0.0;"11";"0";"1";"0";"0";251.0;"cluster_5"
0.0;"11";"1";"0";"0";"22";252.0;"cluster_2"
0.031914893617021274;"11";"1";"0";"1";"0";253.0;"cluster_0"
0.0;"11";"1";"1";"0";"3";254.0;"cluster_2"
0.0;"11";"1";"1";"0";"0";255.0;"cluster_2"
0.0;"11";"1";"0";"0";"1";256.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";257.0;"cluster_5"
0.0;"11";"0";"0";"0";"1";258.0;"cluster_5"
0.001519756838905775;"11";"1";"0";"1";"20";259.0;"cluster_0"
0.0;"11";"1";"1";"0";"3";260.0;"cluster_2"
0.0;"11";"1";"1";"0";"6";261.0;"cluster_2"
0.0;"11";"1";"1";"0";"15";262.0;"cluster_2"
0.0;"11";"1";"0";"0";"3";263.0;"cluster_2"
0.0364741641337386;"11";"0";"0";"1";"3";264.0;"cluster_7"
0.0;"11";"1";"1";"0";"3";265.0;"cluster_2"
0.0;"3";"1";"0";"0";"3";266.0;"cluster_2"
0.0;"3";"0";"0";"0";"1";267.0;"cluster_5"
0.0;"1";"1";"1";"0";"1";268.0;"cluster_2"
0.0;"11";"1";"0";"0";"0";269.0;"cluster_2"
0.0;"11";"0";"1";"0";"13";270.0;"cluster_5"
0.0;"6";"1";"1";"0";"6";271.0;"cluster_2"
0.0;"6";"1";"1";"0";"3";272.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";273.0;"cluster_5"
0.0121580547112462;"11";"1";"1";"1";"3";274.0;"cluster_0"
0.0;"11";"0";"0";"0";"22";275.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";276.0;"cluster_5"
0.00303951367781155;"11";"1";"1";"1";"3";277.0;"cluster_0"
0.0;"11";"0";"0";"0";"22";278.0;"cluster_5"
0.0;"11";"1";"0";"0";"1";279.0;"cluster_2"
0.0;"10";"1";"0";"0";"3";280.0;"cluster_2"
0.0;"11";"1";"1";"0";"3";281.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";282.0;"cluster_5"
0.00303951367781155;"5";"1";"0";"1";"1";283.0;"cluster_0"
0.0;"11";"1";"0";"0";"3";284.0;"cluster_2"
0.0;"6";"1";"1";"0";"3";285.0;"cluster_2"
0.001519756838905775;"11";"1";"0";"1";"1";286.0;"cluster_0"
0.001519756838905775;"11";"1";"1";"1";"1";287.0;"cluster_0"
0.0;"5";"0";"0";"0";"1";288.0;"cluster_5"
0.019756838905775075;"11";"1";"1";"1";"1";289.0;"cluster_0"
0.0;"11";"1";"1";"1";"1";290.0;"cluster_0"
0.0;"11";"0";"0";"0";"22";291.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";292.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";293.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";294.0;"cluster_5"
0.0;"6";"1";"1";"0";"3";295.0;"cluster_2"
0.0;"6";"1";"1";"0";"3";296.0;"cluster_2"
0.0;"1";"1";"1";"0";"1";297.0;"cluster_2"
0.001519756838905775;"11";"0";"0";"1";"3";298.0;"cluster_7"
0.0;"11";"1";"1";"0";"1";299.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";300.0;"cluster_5"
0.0;"2";"0";"0";"0";"1";301.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";302.0;"cluster_5"
0.0;"11";"1";"0";"1";"1";303.0;"cluster_0"
0.0;"7";"1";"0";"0";"3";304.0;"cluster_2"
0.0;"11";"1";"0";"0";"3";305.0;"cluster_2"
0.004559270516717325;"6";"1";"1";"1";"0";306.0;"cluster_0"
0.0;"11";"0";"0";"0";"22";307.0;"cluster_5"
0.0;"11";"1";"1";"1";"0";308.0;"cluster_0"
0.0;"11";"0";"0";"0";"22";309.0;"cluster_5"
0.0182370820668693;"11";"1";"1";"1";"3";310.0;"cluster_0"
0.0;"11";"1";"1";"0";"3";311.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";312.0;"cluster_5"
0.016717325227963525;"9";"1";"0";"1";"22";313.0;"cluster_0"
0.0;"11";"0";"1";"0";"3";314.0;"cluster_5"
0.0060790273556231;"11";"0";"0";"1";"1";315.0;"cluster_7"
0.0;"11";"0";"0";"0";"3";316.0;"cluster_5"
0.0;"11";"0";"0";"0";"3";317.0;"cluster_5"
0.013677811550151976;"6";"0";"1";"1";"3";318.0;"cluster_7"
0.0;"6";"1";"1";"0";"3";319.0;"cluster_2"
0.0;"6";"0";"0";"1";"3";320.0;"cluster_7"
0.0;"11";"1";"0";"0";"1";321.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";322.0;"cluster_5"
0.0;"11";"1";"1";"0";"3";323.0;"cluster_2"
0.0;"3";"1";"0";"0";"1";324.0;"cluster_2"
0.0;"11";"1";"0";"0";"1";325.0;"cluster_2"
0.0;"11";"0";"0";"0";"3";326.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";327.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";328.0;"cluster_5"
0.00911854103343465;"11";"1";"1";"1";"1";329.0;"cluster_0"
0.0;"11";"0";"0";"0";"22";330.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";331.0;"cluster_5"
0.0;"11";"1";"0";"1";"0";332.0;"cluster_0"
0.0;"11";"1";"0";"0";"3";333.0;"cluster_2"
0.022796352583586626;"11";"0";"0";"1";"17";334.0;"cluster_7"
0.0;"3";"1";"1";"0";"3";335.0;"cluster_2"
0.0;"11";"0";"0";"0";"3";336.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";337.0;"cluster_5"
0.001519756838905775;"11";"1";"0";"1";"1";338.0;"cluster_0"
0.007598784194528876;"3";"0";"0";"1";"2";339.0;"cluster_7"
0.0;"11";"1";"0";"0";"3";340.0;"cluster_2"
0.001519756838905775;"11";"1";"1";"1";"0";341.0;"cluster_0"
