@relation data-weka.filters.unsupervised.attribute.RemoveType-Tstring-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.RemoveUseless-M95.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute alexa_has_adult_content {0,1}
@attribute alexa_links_in numeric
@attribute alexa_load_time numeric
@attribute alexa_rank numeric
@attribute alexa_rank_dk numeric
@attribute external_links_count numeric
@attribute facebook_share {0,1}
@attribute has_analytics {0,1}
@attribute has_content_business {0,1}
@attribute has_content_film {0,1}
@attribute has_content_food {0,1}
@attribute has_content_games {0,1}
@attribute has_content_health {0,1}
@attribute has_content_music {0,1}
@attribute has_content_news {0,1}
@attribute has_content_shop {0,1}
@attribute has_content_sport {0,1}
@attribute has_content_technology {0,1}
@attribute has_content_transport {0,1}
@attribute has_content_xxx {0,1}
@attribute has_description {0,1}
@attribute has_js_backbone {0,1}
@attribute has_js_dojo {0,1}
@attribute has_js_jquery {0,1}
@attribute has_js_modernizr {0,1}
@attribute has_js_mootools {0,1}
@attribute has_js_prototype {0,1}
@attribute has_keywords {0,1}
@attribute html5 {0,1}
@attribute html5_tags numeric
@attribute img_count numeric
@attribute internal_links_count numeric
@attribute page_rank numeric
@attribute title_tag {0,1}
@attribute twitter_share {0,1}
@attribute xhtml {0,1}

@data
0,0.010098,0.218256,0.223215,0.298268,0.075551,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.019512,0.011799,0.5,1,0,0
0,0.002077,0.096634,0.101794,0.194096,0.052466,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0.007599,0.029268,0,0.25,1,0,0
0,0.020912,0.066905,0.014897,0.009214,0.204617,0,1,1,1,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0.043902,0.006883,0.75,1,1,0
0,0.002292,?,0.373526,0.517021,0.188877,0,0,1,1,0,0,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0.01626,0,0.5,1,0,0
0,0.002077,0.008771,0.188235,0.070301,0.012592,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.003252,0,0.125,1,0,0
0,0.012891,0.254156,0.130244,0.113216,0.173137,0,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0.065041,0.027532,0.625,1,0,0
0,0.012247,?,0.25465,0.498166,0.043022,0,1,0,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0,0.097561,0.20059,0.5,1,1,0
0,0.008021,0.105354,0.131155,0.087279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,?,0,0,0
0,0.000143,?,0.419607,0.196485,0.002099,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.003252,0,?,1,0,1
0,0.010313,?,0.227876,?,0.001049,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.006504,0.000983,0,1,0,0
1,0.00487,0.078582,0.097674,0.044706,0.020986,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.017886,0.003933,0.5,1,0,0
0,0.003939,0.031973,0.097242,0.095982,0.069255,0,1,1,1,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0.074468,0.029268,0.112094,0.625,1,0,0
0,0.000501,0.044467,0.234123,?,0.010493,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0.009119,0.019512,0.001967,0.125,1,0,0
0,0.032873,0.081336,0.255755,0.162529,0.259182,0,1,1,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0.065041,0.006883,0.75,1,0,0
0,0.008093,?,0.365349,0.589284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
0,0.008809,?,0.158942,0.153229,0.096537,0,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.068293,0.099312,0.5,1,0,0
0,0.005658,0.032789,0.361583,0.559935,0.012592,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0.043902,0.050147,0.5,1,0,0
0,0.009382,?,0.098197,0.132668,0.302204,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0.113821,0.013766,0.625,1,1,0
